CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
OOLU7819414,COSCO PORTUGAL,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",11/4/21,14/4/21,29/4/21,3/5/21,7/5/21,21/4/21,,
FFAU3149412,LOUISA SCHULTE,,"DA CHAN BAY, , China","DA CHAN BAY, , China","Fremantle, State of Western Australia, Australia","Fremantle, State of Western Australia, Australia",26/4/21,30/4/21,18/5/21,19/5/21,4/6/21,21/4/21,,
OOCU7687800,COSCO ENGLAND,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",30/3/21,5/4/21,20/4/21,27/4/21,1/5/21,21/4/21,,
CSNU8026980,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",23/4/21,7/5/21,23/5/21,16/6/21,20/6/21,20/6/21,,
EGHU9080191,,Axiom,,,,,,,,,,26/7/21,Yes,8/7/21
FFAU2111752,,Axiom,,,,"Dallas, Texas, United States",,,,29/6/21,29/6/21,5/7/21,Yes,6/7/21
MSMU7119127,MSC APOLLO,"Eastrong International Logistics Co., Ltd Shenzhen Branch","Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",13/7/21,14/7/21,30/8/21,10/9/21,14/9/21,14/9/21,Yes,2/9/21
FSCU7147456,HANOVER EXPRESS,,,"Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",25/3/21,25/3/21,29/4/21,12/5/21,12/5/21,24/5/21,,
KOCU4113249,ONE CONTRIBUTION,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",23/4/21,25/4/21,25/5/21,26/5/21,11/6/21,24/5/21,,
TCLU2237303,RIO GRANDE EXPRESS,,,"Houston, Texas, United States","Paramaribo, Paramaribo District, Suriname",,22/3/21,22/3/21,23/4/21,,,21/4/21,,
UACU5731535,FOS EXPRESS,,,"Houston, Texas, United States","Chennai, State of Tamil Nadu, India",,12/3/21,12/3/21,18/5/21,,,21/4/21,,
TCLU5938441,NYK ROMULUS,,"Long Beach, California, United States","Los Angeles, California, United States","Contecar, Departamento de Bolivar, Colombia","Cartagena, Departamento de Bolivar, Colombia",10/6/21,19/6/21,16/7/21,17/7/21,2/8/21,14/6/21,Yes,13/5/21
TCLU7876550,MSC ARIANE,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",19/3/21,20/3/21,20/5/21,24/5/21,28/5/21,14/6/21,,
OOLU7743290,TORONTO EXPRESS,,"Antwerpen, Flanders, Belgium","Antwerpen, Flanders, Belgium","Montreal, Quebec, Canada","Montreal, Quebec, Canada",7/12/20,14/12/20,26/12/20,29/12/20,12/1/21,21/4/21,,
OOCU7505119,CMA CGM MONTMARTRE,,"Klaipeda, Klaipeda County, Lithuania","Klaipeda, Klaipeda County, Lithuania","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",21/4/21,27/4/21,1/6/21,1/6/21,18/6/21,21/4/21,,
FSCU8900250,CMA CGM JACQUES JUNIOR,,"Puerto Nuevo, Buenos Aires, Argentina","Puerto Nuevo, Buenos Aires, Argentina","Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China",7/5/19,9/5/19,28/6/19,4/7/19,4/7/19,21/4/21,,
OOLU9428450,OOCL INDONESIA,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Gdansk, Wojewodztwo Pomorskie, Poland","Gdansk, Wojewodztwo Pomorskie, Poland",8/4/21,11/4/21,11/5/21,14/5/21,28/5/21,21/4/21,,
CSNU6053902,COSCO ASIA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Long Beach, California, United States",13/8/20,13/8/20,14/9/20,16/9/20,1/10/20,21/4/21,,
OOLU8782916,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",28/3/21,7/4/21,20/4/21,,7/5/21,6/5/21,,
OOLU9958363,OOCL NAGOYA,,"Bangkok, Bangkok, Thailand","Laem Chabang, Changwat Chon Buri, Thailand","Tokyo, Tokyo Prefecture, Japan","Tokyo, Tokyo Prefecture, Japan",1/4/21,9/4/21,19/4/21,,6/5/21,21/4/21,,
NYKU5138584,ACX PEARL,,"Tokyo, Tokyo Prefecture, Japan","Tokyo, Tokyo Prefecture, Japan","Laem Chabang, Changwat Chon Buri, Thailand","Laem Chabang, Changwat Chon Buri, Thailand",25/3/21,1/4/21,12/4/21,19/4/21,19/4/21,21/4/21,,
MSCU4492395,MSC OLIVER,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",21/12/20,21/12/20,21/2/21,25/2/21,1/3/21,21/4/21,,
OOCU8242568,YM CERTAINTY,,"Laem Chabang, Changwat Chon Buri, Thailand","Laem Chabang, Changwat Chon Buri, Thailand","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",19/4/21,22/4/21,1/5/21,1/5/21,18/5/21,21/4/21,,
DFSU7568906,OOCL LONDON,,"Long Beach, California, United States","Long Beach, California, United States","Ningbo, Zhejiang Sheng, China","Taicang, Jiangsu Sheng, China",18/9/20,23/9/20,11/10/20,7/12/20,7/12/20,21/4/21,,
OOCU8476205,COSCO KAOHSIUNG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Kiamari, Sindh, Pakistan","Kiamari, Sindh, Pakistan",26/1/21,9/2/21,28/2/21,5/3/21,9/3/21,21/4/21,,
TCLU8071333,UNAYZAH,,,"Valencia, Comunitat Valenciana, Spain","Huangpu, Guangdong Sheng, China",,19/2/21,19/2/21,9/4/21,,,21/4/21,,
TRLU7374294,ESSENCE,,"Gijon, Principality of Asturias, Spain","Gijon, Principality of Asturias, Spain","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",17/2/21,17/2/21,10/4/21,13/4/21,27/4/21,21/4/21,,
MSDU7030711,SPIRIT OF MUMBAI,,"Chennai, State of Tamil Nadu, India","Ennore, State of Tamil Nadu, India","Savannah, Georgia, United States","Savannah, Georgia, United States",28/2/21,3/3/21,30/4/21,,17/5/21,21/4/21,,
OOCU7905141,OOCL BELGIUM,,"Jebel Ali, Dubai, United Arab Emirates","Jebel Ali, Dubai, United Arab Emirates","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",27/4/21,28/4/21,23/5/21,23/5/21,9/6/21,21/4/21,,
TCNU4201190,HYUNDAI JUPITER,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Los Angeles, California, United States",25/3/21,5/4/21,21/4/21,,8/5/21,21/4/21,,
CSNU7631733,COSCO AFRICA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/4/21,19/4/21,3/5/21,11/5/21,15/5/21,21/4/21,,
TCKU7503100,SUI GANG 902,,"Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China","Memphis, Tennessee, United States","Smyrna, Tennessee, United States",7/2/21,7/2/21,8/4/21,,25/4/21,21/4/21,,
SEGU4249562,CSCL ARCTIC OCEAN,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Felixstowe, England, United Kingdom","Felixstowe, England, United Kingdom",15/4/21,18/4/21,12/5/21,14/5/21,29/5/21,21/4/21,,
OOCU7821689,CMA CGM TOSCA,,"Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands","New York City, New York, United States","New York City, New York, United States",22/2/21,10/3/21,21/3/21,23/3/21,7/4/21,21/4/21,,
OOLU4517431,OOCL AUSTRALIA,,"Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia","Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia","Kobe, Hyogo, Japan","Kobe, Hyogo, Japan",8/4/21,10/4/21,24/4/21,25/4/21,11/5/21,21/4/21,,
FFAU2166890,COSCO OCEANIA,,"Wuhu, Anhui Sheng, China","Wuhu, Anhui Sheng, China","Jawaharlal Nehru, State of Maharashtra, India","Mumbai, State of Maharashtra, India",15/2/21,16/2/21,1/4/21,19/4/21,23/4/21,21/4/21,,
OOLU6982983,COSCO SHIPPING ANDES,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/4/21,14/4/21,3/5/21,8/6/21,12/6/21,14/6/21,Yes,11/6/21
OOLU8623154,OOCL TOKYO,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",23/4/21,26/4/21,14/5/21,9/6/21,13/6/21,12/7/21,Yes,18/6/21
OOCU7420752,GDYNIA TRADER,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",18/4/21,24/4/21,10/6/21,23/6/21,23/6/21,29/6/21,Yes,29/6/21
OOLU6890568,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",25/4/21,2/5/21,14/5/21,11/6/21,15/6/21,20/6/21,Yes,16/6/21
CAAU5864294,MSC FLAVIA,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",31/3/21,1/4/21,7/7/21,4/7/21,24/7/21,8/7/21,Yes,10/7/21
OOCU8024252,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",21/5/21,5/6/21,24/6/21,7/7/21,11/7/21,12/7/21,Yes,13/7/21
TCNU5477809,CSCL SPRING,,"Wuhu, Anhui Sheng, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",19/2/21,10/3/21,6/4/21,21/4/21,25/4/21,21/4/21,,
MRKU4370856,VISTULA MAERSK,,"Saint Petersburg, Sankt-Peterburg, Russia","Saint Petersburg, Sankt-Peterburg, Russia","Tema, Greater Accra Region, Ghana","Tema, Greater Accra Region, Ghana",14/2/21,14/2/21,25/3/21,,11/4/21,21/4/21,,
OOLU7778146,WARNOW MASTER,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Cruz de Pau, Distrito do Porto, Portugal","Cruz de Pau, Distrito do Porto, Portugal",16/4/21,21/4/21,4/6/21,5/6/21,21/6/21,21/4/21,,
FSCU5088694,CSCL SOUTH CHINA SEA,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Prince Rupert, British Columbia, Canada","Elwood, Illinois, United States",8/11/19,9/11/19,11/12/19,18/12/19,22/12/19,21/4/21,,
MEDU8239421,MAERSK EDMONTON,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",14/1/21,14/1/21,30/3/21,2/4/21,16/4/21,21/4/21,,
OOCU7792111,XIN YUAN 19,,"Fuqing, Fujian Sheng, China","Fuqing, Fujian Sheng, China","Savannah, Georgia, United States","Forest Park, Georgia, United States",2/3/21,5/3/21,20/4/21,,7/5/21,21/4/21,,
KKTU8035053,NORDPUMA,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Kaohsiung, Kaohsiung, Taiwan","Keelung, Taiwan, Taiwan",11/3/21,18/3/21,20/3/21,13/4/21,17/4/21,21/4/21,,
TLLU4428950,COSCO TAICANG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Long Beach, California, United States",18/7/19,19/7/19,12/8/19,13/8/19,29/8/19,21/4/21,,
HLBU2172554,ALS MARS,,,"Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",13/1/21,13/1/21,27/2/21,11/3/21,11/3/21,21/4/21,,
OOLU9578785,COSCO ENGLAND,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",30/3/21,4/4/21,19/4/21,25/4/21,29/4/21,21/4/21,,
MRKU0250596,MAERSK HANGZHOU,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",1/2/21,6/2/21,2/4/21,,19/4/21,21/4/21,,
UETU5498650,COSCO SHIPPING AQUARIUS,,"Yingkou, Liaoning Sheng, China","Yingkou, Liaoning Sheng, China","Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China",15/3/18,17/3/18,31/3/18,5/4/18,9/4/18,21/4/21,,
TCNU3184735,MAERSK ESMERALDAS,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",16/4/21,17/4/21,18/5/21,,4/6/21,24/5/21,,
OOCU7280373,OOCL PANAMA,,"Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",13/12/20,21/12/20,4/1/21,7/1/21,21/1/21,21/4/21,,
OOCU8187368,CMA CGM TOSCA,,"Oberderdingen, Baden-Wuerttemberg, Germany","Rotterdam, Provincie Zuid-Holland, Netherlands","Savannah, Georgia, United States","Newnan, Georgia, United States",29/3/21,20/4/21,4/5/21,5/5/21,21/5/21,21/4/21,,
FFAU3031013,CSCL WINTER,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States",,5/3/21,7/3/21,14/4/21,,1/5/21,21/4/21,,
CCLU4563489,COSCO SHIPPING ALPS,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China",,,26/3/21,28/3/21,,,,21/4/21,,
OOCU7104712,COSCO NETHERLANDS,,"Long Beach, California, United States","Long Beach, California, United States","Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam",2/2/21,9/2/21,14/3/21,18/3/21,18/3/21,21/4/21,,
EITU9210660,,Axiom,,,,,,,,,,22/7/21,Yes,4/8/21
BSIU9604800,CSCL AUTUMN,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Prince Rupert, British Columbia, Canada","Indianapolis, Indiana, United States",26/7/19,28/7/19,29/8/19,13/9/19,17/9/19,21/4/21,,
TCNU3736393,JUDITH SCHULTE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Long Beach, California, United States",20/10/20,22/10/20,18/11/20,24/11/20,28/11/20,21/4/21,,
CAIU4585847,MSC DANIT,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/4/21,16/4/21,24/5/21,25/5/21,10/6/21,24/5/21,,
EISU8219660,,Axiom,,,,,,,,,,13/8/21,,
OOLU9997170,NAVIOS CONSTELLATION,CIF,"Dallas, Texas, United States","Savannah, Georgia, United States","Port Muhammad Bin Qasim, Sindh, Pakistan","Port Muhammad Bin Qasim, Sindh, Pakistan",16/7/21,28/7/21,9/9/21,8/7/21,8/7/21,24/8/21,Yes,14/7/21
FDCU0598720,HYUNDAI SPLENDOR,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",8/4/21,18/4/21,4/5/21,15/5/21,19/5/21,28/5/21,Yes,18/5/21
KKFU7790482,ONE CONTINUITY,,"Mumbai, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Los Angeles, California, United States","Long Beach, California, United States",15/3/21,23/3/21,8/5/21,11/5/21,25/5/21,24/5/21,Yes,26/5/21
UACU8279500,YINGHAI29,,,"Fuzhou, Fujian Sheng, China","Los Angeles, California, United States",,27/1/21,27/1/21,3/4/21,,,21/4/21,,
CMAU5575846,OOCL BERLIN,,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","New York City, New York, United States",,16/4/21,17/4/21,27/5/21,,13/6/21,4/5/21,,
TRHU7024620,HYUNDAI COURAGE,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",1/4/21,9/4/21,27/4/21,3/5/21,7/5/21,26/5/21,Yes,6/5/21
CSNU6405161,APL VANDA,,"Le Havre, Normandie, France","Le Havre, Normandie, France","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",10/5/19,13/5/19,22/6/19,26/6/19,26/6/19,21/4/21,,
OOLU7272477,OOCL TAIPEI,,"Dallas, Texas, United States","Long Beach, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",28/12/20,10/1/21,31/1/21,3/2/21,17/2/21,21/4/21,,
CBHU7047634,COSCO SHIPPING VIRGO,,"Gwangyang, Jeollanam-do, South Korea","Gwangyang, Jeollanam-do, South Korea","Piraeus, Attica, Greece","Piraeus, Attica, Greece",28/1/20,29/1/20,3/3/20,4/3/20,20/3/20,21/4/21,,
BMOU4390634,COSCO SHIPPING VIRGO,,"Doel, Flanders, Belgium","Antwerpen, Flanders, Belgium","Manila, Metro Manila, Philippines","Manila, National Capital Region, Philippines",19/5/20,26/5/20,27/7/20,13/8/20,13/8/20,21/4/21,,
ONEU0295675,ONE COMMITMENT,,"Dallas, Texas, United States","Los Angeles, California, United States","Singapore, , Singapore","Singapore, , Singapore",19/5/21,24/6/21,17/7/21,17/7/21,3/8/21,24/5/21,,
OOCU7212907,OOCL TAIPEI,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",16/4/21,20/4/21,11/5/21,3/6/21,7/6/21,26/6/21,Yes,9/6/21
KKFU7813295,YM WHOLESOME,LF,"Dallas, Texas, United States","Long Beach, California, United States","Karachi, Sindh, Pakistan","Karachi, Sindh, Pakistan",15/7/21,9/8/21,22/9/21,4/7/21,9/10/21,26/7/21,Yes,13/7/21
BMOU5516460,COSCO ITALY,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",28/4/21,14/5/21,29/5/21,17/6/21,21/6/21,30/7/21,Yes,22/6/21
CSLU6112320,COSCO ITALY,CIF,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",13/6/21,5/7/21,4/8/21,10/8/21,14/8/21,16/8/21,Yes,16/8/21
CAAU5727856,EVER LISSOME,Axiom,"Dallas, Texas, United States","Los Angeles, California, United States","Taipei, Taiwan, Taiwan","Taichung, Taiwan, Taiwan",11/8/21,11/8/21,26/8/21,,12/9/21,7/8/21,Yes,6/7/21
OOCU7795954,COSCO SHIPPING DENALI,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Long Beach, California, United States",18/8/20,21/8/20,15/9/20,18/9/20,2/10/20,6/5/21,,
OOCU8195698,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",18/4/21,23/4/21,11/5/21,,28/5/21,7/6/21,Yes,11/6/21
EGSU9086188,ST EVER,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",29/4/21,29/4/21,14/6/21,9/7/21,13/7/21,7/6/21,,
FSCU9319554,NSC KINGSTON,,"Surabaya, Jawa Timur, Indonesia","Surabaya, Jawa Timur, Indonesia","Pelabuhan Klang, Selangor, Malaysia","Klang, Selangor, Malaysia",2/10/19,3/10/19,15/10/19,24/10/19,24/10/19,21/4/21,,
CAXU7236136,MARIT MAERSK,,"Gdansk, Wojewodztwo Pomorskie, Poland","Gdansk, Wojewodztwo Pomorskie, Poland","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",16/3/21,16/3/21,14/5/21,,31/5/21,21/4/21,,
OOCU8370872,HAIAN PARK,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Vancouver, British Columbia, Canada","Toronto, Ontario, Canada",3/4/21,4/4/21,9/5/21,17/5/21,21/5/21,21/4/21,,
UETU5313355,COSCO SHIPPING DENALI,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,6/3/21,7/3/21,31/3/21,,17/4/21,21/4/21,,
CAXU7183822,MSC ARIES,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",23/3/21,24/3/21,26/4/21,,13/5/21,21/4/21,,
TCNU7609587,ONE FALCON,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",11/1/21,19/1/21,8/3/21,7/5/21,11/5/21,14/6/21,Yes,12/5/21
CAIU9497250,ONE CONTINUITY,,"Dong Nai, , Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",1/4/21,11/4/21,11/5/21,29/5/21,2/6/21,30/5/21,,
OOLU2898935,OOCL JAKARTA,,"Nagoya, Aichi-ken, Japan","Nagoya, Aichi-ken, Japan","Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia",27/10/20,2/11/20,25/11/20,27/11/20,12/12/20,21/4/21,,
FFAU3333461,COSCO SHIPPING UNIVERSE,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",14/3/21,22/3/21,24/4/21,27/4/21,11/5/21,21/4/21,,
CSNU6056706,CSCL STAR,Axiom,"Dalian, Liaoning Sheng, China","Dalian, Liaoning Sheng, China","La Spezia, Liguria, Italy","La Spezia, Liguria, Italy",11/6/20,13/6/20,1/8/20,12/8/20,16/8/20,30/5/21,Yes,2/6/21
TGCU0056122,TAICHUNG,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",4/6/21,4/6/21,17/8/21,15/8/21,17/8/21,24/8/21,Yes,18/8/21
TEMU6911036,OOCL NAGOYA,,"Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia","Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China",6/4/20,13/4/20,17/5/20,7/6/20,7/6/20,24/5/21,Yes,19/5/21
MEDU7515865,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,18/5/21,16/7/21,13/7/21,2/8/21,19/7/21,Yes,20/7/21
TGHU5022925,MSC EMANUELA,,"Civet, , China","Civet, , China","Los Angeles, California, United States","Dallas, Texas, United States",8/3/21,8/3/21,20/4/21,4/5/21,8/5/21,6/5/21,,
UETU2269325,,Axiom,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",7/5/21,7/5/21,7/6/21,,24/6/21,5/7/21,Yes,30/6/21
